Dataset,Method,Deletion AUC,Insertion AUC
CIFAR-10,GradCAM,0.26564513998336564,0.7693481677156313
CIFAR-10,IG,0.22012107414232726,0.38931086324156655
CIFAR-10,Occlusion,0.1989565449668902,0.7680370681039591
CIFAR-10,Saliency,0.26723440294881584,0.24922237731767466
