dataset,scheme,kind,level,method,acc,spearman,pearson,ssim,deletion
ImageNette,quant-2,quant,2.0,Occlusion,0.10038216560509554,-0.022654263154401853,-0.0068928523610035574,0.0350600349065644,0.10010064945866665
ImageNette,prune-0.3,prune,0.3,Saliency,0.9594904458598726,0.6539364000484206,0.7916625430186589,0.7913879305124283,0.39475632893879953
ImageNette,prune-0.3,prune,0.3,IG,0.9594904458598726,0.8139547526548,0.9103306969006856,0.9089988648891449,0.3364379455495458
ImageNette,prune-0.3,prune,0.3,GradCAM,0.9594904458598726,0.9964094327208531,0.9970543315013249,0.9963538924853007,0.3999882810373577
ImageNette,prune-0.3,prune,0.3,Occlusion,0.9594904458598726,0.792553072909816,0.8368519445260366,0.8902326916043725,0.452578527523405
ImageNette,prune-0.5,prune,0.5,Saliency,0.9554140127388535,0.4319062580674353,0.5761351297299068,0.5892732997735342,0.363133310561557
ImageNette,prune-0.5,prune,0.5,IG,0.9554140127388535,0.6109672164640501,0.7267436921596527,0.7255698243776957,0.31818857516370325
ImageNette,prune-0.5,prune,0.5,GradCAM,0.9554140127388535,0.9750407994909779,0.9774398744106293,0.9747093141078949,0.39419185680413965
ImageNette,prune-0.5,prune,0.5,Occlusion,0.9554140127388535,0.691229593501624,0.7142083891977866,0.737170805969951,0.4288576414956289
ImageNette,prune-0.7,prune,0.7,Saliency,0.8782165605095541,0.2595549055439728,0.35289759760101636,0.3837623745203018,0.32375551689706483
ImageNette,prune-0.7,prune,0.7,IG,0.8782165605095541,0.42170027155113055,0.46847030023733777,0.49622372289498645,0.29051844374182567
ImageNette,prune-0.7,prune,0.7,GradCAM,0.8782165605095541,0.8493757854008108,0.8479070633649826,0.8406534453233083,0.2958661064417438
ImageNette,prune-0.7,prune,0.7,Occlusion,0.8782165605095541,0.4151194135407962,0.45846322119856875,0.3980403729437967,0.28902002211936634
ImageNette,prune-0.8,prune,0.8,Saliency,0.606624203821656,0.1915548048410495,0.24691948865850766,0.2860168491800626,0.18922673057502962
ImageNette,prune-0.8,prune,0.8,IG,0.606624203821656,0.36053379999948026,0.3613665429254373,0.3933173385759195,0.1669927397009682
ImageNette,prune-0.8,prune,0.8,GradCAM,0.606624203821656,0.5850949260684674,0.5896152625481288,0.5803239518155654,0.15605954299768302
ImageNette,prune-0.8,prune,0.8,Occlusion,0.606624203821656,0.2326432801405384,0.2432545328871735,0.15756382514610626,0.1155297405945109
ImageNette,prune-0.9,prune,0.9,Saliency,0.12611464968152866,0.1279394388183208,0.16096208207309246,0.20622829149166744,0.12903894305861716
ImageNette,prune-0.9,prune,0.9,IG,0.12611464968152866,0.31801677106358334,0.29455545991659166,0.3162737918396791,0.1175046257584902
ImageNette,prune-0.9,prune,0.9,GradCAM,0.12611464968152866,0.4312340995596663,0.4183463915716857,0.40757383413204024,0.11184847528472626
ImageNette,prune-0.9,prune,0.9,Occlusion,0.12611464968152866,0.10331271946722882,0.12594286057477197,0.08545758805093252,0.08624635709036195
